OBSDataFormat=2&OBSFirmwareVersion=v0.11.706&DeviceId=b8cf&DataPerMeasurement=3&MaximumMeasurementsPerLine=30&OffsetLeft=35&OffsetRight=35&NumberOfDefinedPrivacyAreas=0&TrackId=ba0a622d-91db-0a60-2918-c9d4e253467b&PrivacyLevelApplied=AbsolutePrivacy&MaximumValidFlightTimeMicroseconds=18560&BluetoothEnabled=0&PresetId=default&TimeZone=GPS&DistanceSensorsUsed=HC-SR04/JSN-SR04T
Date;Time;Millis;Comment;Latitude;Longitude;Altitude;Course;Speed;HDOP;Satellites;BatteryLevel;Left;Right;Confirmed;Marked;Invalid;InsidePrivacyArea;Factor;Measurements;Tms1;Lus1;Rus1;Tms2;Lus2;Rus2;Tms3;Lus3;Rus3;Tms4;Lus4;Rus4;Tms5;Lus5;Rus5;Tms6;Lus6;Rus6;Tms7;Lus7;Rus7;Tms8;Lus8;Rus8;Tms9;Lus9;Rus9;Tms10;Lus10;Rus10;Tms11;Lus11;Rus11;Tms12;Lus12;Rus12;Tms13;Lus13;Rus13;Tms14;Lus14;Rus14;Tms15;Lus15;Rus15;Tms16;Lus16;Rus16;Tms17;Lus17;Rus17;Tms18;Lus18;Rus18;Tms19;Lus19;Rus19;Tms20;Lus20;Rus20;Tms21;Lus21;Rus21;Tms22;Lus22;Rus22;Tms23;Lus23;Rus23;Tms24;Lus24;Rus24;Tms25;Lus25;Rus25;Tms26;Lus26;Rus26;Tms27;Lus27;Rus27;Tms28;Lus28;Rus28;Tms29;Lus29;Rus29;Tms30;Lus30;Rus30
19.02.2022;12:59:34;37007;;52.4802006;13.4213272;131.10;;0.7;1.93;5;4.02;80;;0;;0;0;58;17;0;1707;;61;7978;;122;1706;;182;1737;;245;1739;30836;305;1737;;366;1740;;427;8432;;487;10722;;548;9831;;609;1688;;670;1663;28935;730;1693;;791;1720;;852;11568;;912;11521;;973;10966;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19.02.2022;12:59:35;38000;;52.4802069;13.4213490;133.66;;0.9;1.76;6;3.99;93;;0;;0;0;58;17;15;9780;;75;10549;;136;11758;;197;12170;;257;1298;;318;9150;;379;11480;;439;8038;;500;1437;;560;9422;;621;1406;;682;7454;;742;7603;;803;1759;;864;1676;;924;1622;;985;1694;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19.02.2022;12:59:36;39000;;52.4801168;13.4212903;112.03;;0.3;1.09;7;3.99;91;;0;;0;0;58;17;21;10578;;82;9112;;142;1593;;203;1702;;264;1718;;324;11002;;385;11018;;446;1668;;506;1710;;567;14246;;627;1850;;688;1169;;749;7315;;809;1293;;870;8245;;931;1737;;991;1184;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19.02.2022;12:59:37;40000;;52.4800704;13.4212960;109.43;;0.2;1.09;7;3.98;105;;0;;0;0;58;17;26;8157;;86;13555;;147;11874;;207;1197;;268;1169;;329;1177;;389;8623;;450;1585;;511;12758;;571;10613;;632;9363;;692;1940;;753;9872;;814;9233;;874;9888;;935;10516;;996;1191;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19.02.2022;12:59:38;41000;;52.4800320;13.4212971;101.66;;0.1;0.99;8;3.98;97;;0;;0;0;58;16;31;7712;;92;11902;;152;7815;;213;1164;;274;1164;;334;1185;;395;10295;;455;1722;;516;1649;;577;1674;;637;1674;;698;1703;;759;9464;;819;9925;;880;9974;;940;9539;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19.02.2022;12:59:39;42000;;52.4800320;13.4212971;101.66;;;0.99;8;3.98;104;;0;;0;0;58;17;2;1577;;63;1545;;123;1571;;184;1575;;245;1572;;305;1595;;366;11026;;427;8368;;487;9708;;548;10236;;609;8458;;669;1919;;730;1818;;790;8099;1652;851;8962;1175;912;1195;1168;972;10235;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19.02.2022;12:59:40;43000;;52.4800320;13.4212971;101.66;;;0.99;8;3.98;1;;0;;0;0;58;17;7;2095;;67;1307;1234;128;1585;1218;189;9058;1187;249;10158;1161;310;10596;1208;371;10021;1173;431;7838;1163;492;10216;1151;552;10749;1219;613;10862;1384;674;2181;1150;735;12034;;795;10680;1452;856;13864;25657;917;9559;1198;977;9458;1423;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19.02.2022;12:59:41;44009;;52.4800320;13.4212971;101.66;;;0.99;8;3.98;113;1;0;;0;0;58;17;5;9424;;65;11180;;126;1522;1729;186;8613;1163;247;8026;1451;308;11278;1165;368;7741;1155;429;9036;1389;490;9444;1801;550;10393;1848;611;9107;1936;671;10669;2124;732;9383;2122;793;8759;1872;853;8096;2157;914;9491;2149;975;7757;2162;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19.02.2022;12:59:42;45000;;52.4800320;13.4212971;101.66;;;0.99;8;3.98;114;1;0;;0;0;58;17;19;14037;;80;10340;2155;140;11021;2148;201;8898;2141;261;7894;2116;322;10567;2088;383;8651;1763;443;7195;2086;504;11253;1938;565;9481;1642;625;7820;1695;686;10164;;746;10575;;807;9908;;868;11763;;928;9687;;989;8125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19.02.2022;12:59:43;46000;;52.4800320;13.4212971;101.66;;;0.99;8;3.98;110;;0;;0;0;58;17;24;11061;;85;13010;;146;11480;;206;10756;;267;13782;;327;7542;;388;8897;;449;8273;;509;8438;;570;1152;;631;1154;;691;1232;;752;1174;;812;1213;;873;1294;;934;1308;;994;1355;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19.02.2022;12:59:44;47000;;52.4800320;13.4212971;101.66;;;0.99;8;3.97;68;;0;;0;0;58;16;30;5977;;90;1594;;151;1478;;212;1622;;272;9214;;333;10621;;393;8172;;454;6096;;515;6001;;575;6008;;636;6132;;697;6200;;757;8185;;818;7239;;878;6550;;939;6421;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19.02.2022;12:59:45;48000;;52.4800320;13.4212971;101.66;;;0.99;8;3.97;65;;0;;0;0;58;17;1;6306;;61;6236;;122;6106;;182;5991;;243;5988;;304;5956;;364;5968;;425;5876;;486;5752;;546;5835;;607;5824;;668;5942;;728;6243;;789;6523;;849;5978;;910;9814;;971;9033;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
